Sniffer avviato (CTRL+C per fermare)
[000001] 2025-12-19 06:30:27.460 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=118B
[000002] 2025-12-19 06:30:27.461 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=39B
[000003] 2025-12-19 06:30:27.633 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000004] 2025-12-19 06:30:27.634 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000005] 2025-12-19 06:30:27.634 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000006] 2025-12-19 06:30:27.634 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000007] 2025-12-19 06:30:27.634 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=39B
[000008] 2025-12-19 06:30:27.634 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=0B
[000009] 2025-12-19 06:30:27.807 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000010] 2025-12-19 06:30:27.807 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000011] 2025-12-19 06:30:27.808 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000012] 2025-12-19 06:30:27.808 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=513B
[000013] 2025-12-19 06:30:27.849 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000014] 2025-12-19 06:30:27.983 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000015] 2025-12-19 06:30:27.983 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=100B
[000016] 2025-12-19 06:30:27.983 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=0B
[000017] 2025-12-19 06:30:27.989 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=35B
[000018] 2025-12-19 06:30:28.208 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
